Date,Close for VIX,Closed for RV(Pt),P(t-1),log(Pt/Pt-1)=daily returns,,RV,IV(=VIX/100),IV*IV,RV*RV,VRP=IV^2-RV^2,true volatality,IV_error,RV_error,Final_IV,Final_RV,Final_VRP
03-Nov-2025,17.17,10.84,10.45,0.01591299176,,0.1084,0.1717,0.02948089,0.01175056,0.01773033,0.14005,0.03165,-0.03165,0.14005,0.14005,-0.0633
04-Nov-2025,19,10.47,10.84,-0.01508260052,,0.1047,0.19,0.0361,0.01096209,0.02513791,0.14735,0.04265,-0.04265,0.14735,0.14735,-0.0853
05-Nov-2025,18.01,10.84,10.47,0.01508260052,,0.1084,0.1801,0.03243601,0.01175056,0.02068545,0.14425,0.03585,-0.03585,0.14425,0.14425,-0.0717
06-Nov-2025,19.5,13.4,10.84,0.09207551616,,0.134,0.195,0.038025,0.017956,0.020069,0.1645,0.0305,-0.0305,0.1645,0.1645,-0.061
07-Nov-2025,19.08,13.47,13.4,0.002262797358,,0.1347,0.1908,0.03640464,0.01814409,0.01826055,0.16275,0.02805,-0.02805,0.16275,0.16275,-0.0561
08-Nov-2025,17.6,13.51,13.47,0.001287753299,,0.1351,0.176,0.030976,0.01825201,0.01272399,0.15555,0.02045,-0.02045,0.15555,0.15555,-0.0409
11-Nov-2025,17.28,13.4,13.51,-0.003550550657,,0.134,0.1728,0.02985984,0.017956,0.01190384,0.1534,0.0194,-0.0194,0.1534,0.1534,-0.0388
12-Nov-2025,17.51,13.01,13.4,-0.0128275018,,0.1301,0.1751,0.03066001,0.01692601,0.013734,0.1526,0.0225,-0.0225,0.1526,0.1526,-0.045
13-Nov-2025,20,12.82,13.01,-0.006389271379,,0.1282,0.2,0.04,0.01643524,0.02356476,0.1641,0.0359,-0.0359,0.1641,0.1641,-0.0718
14-Nov-2025,19.83,12.93,12.82,0.003710499698,,0.1293,0.1983,0.03932289,0.01671849,0.0226044,0.1638,0.0345,-0.0345,0.1638,0.1638,-0.069
15-Nov-2025,22.38,13.79,12.93,0.0279657413,,0.1379,0.2238,0.05008644,0.01901641,0.03107003,0.18085,0.04295,-0.04295,0.18085,0.18085,-0.0859
18-Nov-2025,24.69,13.83,13.79,0.001257913933,,0.1383,0.2469,0.06095961,0.01912689,0.04183272,0.1926,0.0543,-0.0543,0.1926,0.1926,-0.1086
19-Nov-2025,23.66,13.87,13.83,0.001254280964,,0.1387,0.2366,0.05597956,0.01923769,0.03674187,0.18765,0.04895,-0.04895,0.18765,0.18765,-0.0979
20-Nov-2025,26.42,13.85,13.87,-0.0006266876728,,0.1385,0.2642,0.06980164,0.01918225,0.05061939,0.20135,0.06285,-0.06285,0.20135,0.20135,-0.1257
21-Nov-2025,23.43,13.64,13.85,-0.00663540308,,0.1364,0.2343,0.05489649,0.01860496,0.03629153,0.18535,0.04895,-0.04895,0.18535,0.18535,-0.0979
24-Nov-2025,20.52,13.61,13.64,-0.0009562451171,,0.1361,0.2052,0.04210704,0.01852321,0.02358383,0.17065,0.03455,-0.03455,0.17065,0.17065,-0.0691
25-Nov-2025,18.56,13.67,13.61,0.001910389364,,0.1367,0.1856,0.03444736,0.01868689,0.01576047,0.16115,0.02445,-0.02445,0.16115,0.16115,-0.0489
26-Nov-2025,17.19,13.75,13.67,0.002534183598,,0.1375,0.1719,0.02954961,0.01890625,0.01064336,0.1547,0.0172,-0.0172,0.1547,0.1547,-0.0344
28-Nov-2025,16.35,13.78,13.75,0.0009465194053,,0.1378,0.1635,0.02673225,0.01898884,0.00774341,0.15065,0.01285,-0.01285,0.15065,0.15065,-0.0257
01-Dec-2025,17.24,12.31,13.78,-0.04899116464,,0.1231,0.1724,0.02972176,0.01515361,0.01456815,0.14775,0.02465,-0.02465,0.14775,0.14775,-0.0493
02-Dec-2025,16.59,12.29,12.31,-0.0007061700449,,0.1229,0.1659,0.02752281,0.01510441,0.0124184,0.1444,0.0215,-0.0215,0.1444,0.1444,-0.043
03-Dec-2025,16.08,11.77,12.29,-0.01877542004,,0.1177,0.1608,0.02585664,0.01385329,0.01200335,0.13925,0.02155,-0.02155,0.13925,0.13925,-0.0431
04-Dec-2025,15.78,11.84,11.77,0.002575239543,,0.1184,0.1578,0.02490084,0.01401856,0.01088228,0.1381,0.0197,-0.0197,0.1381,0.1381,-0.0394
05-Dec-2025,15.41,11.9,11.84,0.002195259006,,0.119,0.1541,0.02374681,0.014161,0.00958581,0.13655,0.01755,-0.01755,0.13655,0.13655,-0.0351
06-Dec-2025,16.66,11.97,11.9,0.002547189014,,0.1197,0.1666,0.02775556,0.01432809,0.01342747,0.14315,0.02345,-0.02345,0.14315,0.14315,-0.0469
09-Dec-2025,16.93,12.03,11.97,0.002171476933,,0.1203,0.1693,0.02866249,0.01447209,0.0141904,0.1448,0.0245,-0.0245,0.1448,0.1448,-0.049
10-Dec-2025,15.77,12.1,12.03,0.002519742977,,0.121,0.1577,0.02486929,0.014641,0.01022829,0.13935,0.01835,-0.01835,0.13935,0.13935,-0.0367
11-Dec-2025,14.85,12.16,12.1,0.00214820462,,0.1216,0.1485,0.02205225,0.01478656,0.00726569,0.13505,0.01345,-0.01345,0.13505,0.13505,-0.0269
12-Dec-2025,15.74,12.23,12.16,0.0024928821,,0.1223,0.1574,0.02477476,0.01495729,0.00981747,0.13985,0.01755,-0.01755,0.13985,0.13985,-0.0351
15-Dec-2025,16.5,12.29,12.23,0.00212542585,,0.1229,0.165,0.027225,0.01510441,0.01212059,0.14395,0.02105,-0.02105,0.14395,0.14395,-0.0421
16-Dec-2025,16.48,12.36,12.29,0.002466587866,,0.1236,0.1648,0.02715904,0.01527696,0.01188208,0.1442,0.0206,-0.0206,0.1442,0.1442,-0.0412
17-Dec-2025,17.62,12.86,12.36,0.01722249784,,0.1286,0.1762,0.03104644,0.01653796,0.01450848,0.1524,0.0238,-0.0238,0.1524,0.1524,-0.0476
18-Dec-2025,16.87,12.42,12.86,-0.01511937275,,0.1242,0.1687,0.02845969,0.01542564,0.01303405,0.14645,0.02225,-0.02225,0.14645,0.14645,-0.0445
19-Dec-2025,14.91,12.82,12.42,0.01376642934,,0.1282,0.1491,0.02223081,0.01643524,0.00579557,0.13865,0.01045,-0.01045,0.13865,0.13865,-0.0209
20-Dec-2025,14.08,13.01,12.82,0.006389271379,,0.1301,0.1408,0.01982464,0.01692601,0.00289863,0.13545,0.00535,-0.00535,0.13545,0.13545,-0.0107
23-Dec-2025,14,13.94,13.01,0.0299854772,,0.1394,0.14,0.0196,0.01943236,0.00016764,0.1397,0.0003,-0.0003,0.1397,0.1397,-0.0006
24-Dec-2025,13.47,13.32,13.94,-0.01975854893,,0.1332,0.1347,0.01814409,0.01774224,0.00040185,0.13395,0.00075,-0.00075,0.13395,0.13395,-0.0015
26-Dec-2025,13.6,13.8,13.32,0.01537486157,,0.138,0.136,0.018496,0.019044,-0.000548,0.137,-0.001,0.001,0.137,0.137,0.002
29-Dec-2025,14.1,14.08,14.16,-0.002460598548,,0.1408,0.141,0.019881,0.01982464,0.00005636,0.1409,0.0001,-0.0001,0.1409,0.1409,-0.0002
30-Dec-2025,14.33,14.09,14.08,0.0003083383033,,0.1409,0.1433,0.02053489,0.01985281,0.00068208,0.1421,0.0012,-0.0012,0.1421,0.1421,-0.0024
31-Dec-2025,14.95,14.08,14.09,-0.0003083383033,,0.1408,0.1495,0.02235025,0.01982464,0.00252561,0.14515,0.00435,-0.00435,0.14515,0.14515,-0.0087
02-Jan-2026,14.51,14.69,14.08,0.01841914098,,0.1469,0.1451,0.02105401,0.02157961,-0.0005256,0.146,-0.0009,0.0009,0.146,0.146,0.0018
03-Jan-2026,14.9,14.98,14.69,0.008490017573,,0.1498,0.149,0.022201,0.02244004,-0.00023904,0.1494,-0.0004,0.0004,0.1494,0.1494,0.0008
06-Jan-2026,14.75,14.42,14.98,-0.01654655298,,0.1442,0.1475,0.02175625,0.02079364,0.00096261,0.14585,0.00165,-0.00165,0.14585,0.14585,-0.0033
07-Jan-2026,15.38,14.4,14.42,-0.0006027682882,,0.144,0.1538,0.02365444,0.020736,0.00291844,0.1489,0.0049,-0.0049,0.1489,0.1489,-0.0098
08-Jan-2026,15.45,14.28,14.4,-0.003634284655,,0.1428,0.1545,0.02387025,0.02039184,0.00347841,0.14865,0.00585,-0.00585,0.14865,0.14865,-0.0117
09-Jan-2026,14.49,15.33,14.28,0.03081394741,,0.1533,0.1449,0.02099601,0.02350089,-0.00250488,0.1491,-0.0042,0.0042,0.1491,0.1491,0.0084
12-Jan-2026,15.12,14.23,15.33,-0.03233725477,,0.1423,0.1512,0.02286144,0.02024929,0.00261215,0.14675,0.00445,-0.00445,0.14675,0.14675,-0.0089
13-Jan-2026,15.98,15.46,14.23,0.0360045895,,0.1546,0.1598,0.02553604,0.02390116,0.00163488,0.1572,0.0026,-0.0026,0.1572,0.1572,-0.0052
14-Jan-2026,16.75,15.28,15.46,-0.005086135343,,0.1528,0.1675,0.02805625,0.02334784,0.00470841,0.16015,0.00735,-0.00735,0.16015,0.16015,-0.0147
15-Jan-2026,15.84,14.48,15.28,-0.02335479238,,0.1448,0.1584,0.02509056,0.02096704,0.00412352,0.1516,0.0068,-0.0068,0.1516,0.1516,-0.0136
16-Jan-2026,15.86,16.27,14.48,0.05061899108,,0.1627,0.1586,0.02515396,0.02647129,-0.00131733,0.16065,-0.00205,0.00205,0.16065,0.16065,0.0041
19-Jan-2026,20.09,16.79,16.27,0.0136631432,,0.1679,0.2009,0.04036081,0.02819041,0.0121704,0.1844,0.0165,-0.0165,0.1844,0.1844,-0.033
